Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Agricultural land (% of land area),AG.LND.AGRI.ZS,World,WLD,38.5135453680459,37.1729374492351,36.6949673290446,36.6494624086384,36.8945994209391,36.7727494723685,36.8075384238276,36.7455822677967,36.8380779923531,36.8835927730766,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Afghanistan,AFG,58.3229842233568,57.9458166597673,58.123668031216,58.123668031216,58.123668031216,58.2769881790166,58.2769881790166,58.7415482268525,58.7415482268525,58.7415482268525,58.4395075356853,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Albania,ALB,40.9124087591241,41.7518248175182,42.8576642335766,43.1277372262774,42.8569708029197,42.8496715328467,42.8467153284672,42.538503649635,41.471897810219,41.4452554744526,38.1240875912409,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Algeria,DZA,16.2385482882263,16.8032614811021,17.4059228102468,17.3655321884285,17.3550108093197,17.3565679895505,17.3469816184806,17.3352255074022,17.3306070351928,17.351348174024,17.359031632336,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,American Samoa,ASM,9.65,11.35,13.6,13.75,13.9,14.05,14.2,14.35,14.5,14.5,14.8,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Andorra,AND,48.936170212766,48.936170212766,40.0212765957447,40.0425531914894,40.0425531914894,40.0723404255319,40.0002127659574,39.9517021276596,39.9068085106383,39.9068085106383,39.8740425531915,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Angola,AGO,35.6589396005454,35.7126814791048,36.7281623486003,36.7562364642657,36.7089115264298,36.7193390551055,36.7819042271597,36.7883211678832,36.8308334001765,36.9471404507901,36.9479425683805,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Antigua and Barbuda,ATG,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Argentina,ARG,46.6128790619325,46.9581867146078,44.1239360687546,43.4324236577764,42.9825761047104,42.3613927774063,42.605848671205,43.0004859885482,43.1097420606645,43.4276443440799,42.4367915620695,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Armenia,ARM,..,46.4699683877766,58.8935721812434,58.8970846505093,58.872497365648,58.9146469968388,58.9041095890411,59.4380831430972,59.3969093973882,58.6134209413894,58.5933621376878,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Aruba,ABW,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Australia,AUS,60.4554625567864,59.2881038230738,45.3144240657095,44.5399257932247,48.3406179391109,46.6580950127535,47.1237724290889,46.2524798427461,47.2592374954823,47.2592374954823,47.2234443228177,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Austria,AUT,36.6444498303442,35.630150266602,32.9429229277751,32.3578526417838,32.1694134755211,32.1477217644207,32.1280901599612,31.5398121667475,31.5376684440136,31.4765838584586,31.4743456131847,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Azerbaijan,AZE,..,57.3863567580655,57.7017529003303,57.7355751784202,57.7956013645932,57.8253926004791,57.8278123260822,57.8382498850519,57.8415003024803,57.8402903811252,57.8294010889292,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Bahamas, The",BHS,1.0989010989011,1.0989010989011,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,1.2987012987013,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bahrain,BHR,14.4927536231884,13.943661971831,10.694087403599,10.5519897304236,10.3974358974359,10.4113110539846,10.3846153846154,10.3184713375796,10.253164556962,10.253164556962,10.125,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bangladesh,BGD,79.7879695782438,72.2132595836214,70.3867250518553,70.6323269570562,70.5794729968503,70.694476453868,72.1902127986479,72.4437274333564,72.3515402934624,72.3706433287272,72.311124788429,..
